sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,Human
0,KEPT_ORIGINAL,[],What is a physician's assistant?,What is a physician's assistant?,What is a physician's assistant?,70.1824,1.0000,1.0000,
1,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients""]",What are the educational requirements required to become one?,What are the educational requirements to become a physician assistant?,What are the educational requirements required to become a physician's assistant?,88.7166,0.9091,0.4709,
2,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;""]",What does it cost?,What is the cost of becoming a physician's assistant?,What does it cost to become a physician's assistant?,88.8035,0.6000,0.2907,
3,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975.""]",What's the average starting salary in the UK?,What is the average starting salary for a physician's assistant in the UK?,What's the average starting salary for a physician's assistant in the UK?,117.7859,0.9286,0.8386,
4,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships).""]",What about in the US?,What is the average starting salary for a physician's assistant in the US?,What's the average starting salary for a physician's assistant in the US?,118.0935,0.9286,0.8386,
5,KEPT_ORIGINAL,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships)."", ""What's the average starting salary for a physician's assistant in the US?"", ""An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries.""]",What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,88.9241,1.0000,1.0000,
6,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships)."", ""What's the average starting salary for a physician's assistant in the US?"", ""An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries."", ""What school subjects are needed to become a registered nurse?"", ""Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects.""]",What is the PA average salary vs an RN?,What is the average salary of a Physician Assistant compared to a Registered Nurse?,What is the physician's assistant average salary vs a registered nurse?,117.8762,0.6154,0.0000,
7,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships)."", ""What's the average starting salary for a physician's assistant in the US?"", ""An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries."", ""What school subjects are needed to become a registered nurse?"", ""Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects."", ""What is the physician's assistant average salary vs a registered nurse?"", ""Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS.""]",What the difference between a PA and a nurse practitioner?,What is the difference between a physician assistant and a nurse practitioner?,What the difference between a physician assistant and a nurse practitioner?,103.5138,0.9565,0.8424,
8,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships)."", ""What's the average starting salary for a physician's assistant in the US?"", ""An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries."", ""What school subjects are needed to become a registered nurse?"", ""Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects."", ""What is the physician's assistant average salary vs a registered nurse?"", ""Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS."", ""What the difference between a physician assistant and a nurse practitioner?"", "". Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment.""]",Do NPs or PAs make more?,Do nurse practitioners or physician assistants make more?,Do nurse practitioners or physician assistants make more?,74.6475,1.0000,1.0000,
9,REWRITTEN,"[""What is a physician's assistant?"", ""physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients"", ""What are the educational requirements required to become a physician's assistant?"", ""Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program;"", ""What does it cost to become a physician's assistant?"", ""Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975."", ""What's the average starting salary for a physician's assistant in the UK?"", ""Typical starting salaries for physician associates are between \u00a327,000 and \u00a331,383 (though sometimes less for internships)."", ""What's the average starting salary for a physician's assistant in the US?"", ""An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries."", ""What school subjects are needed to become a registered nurse?"", ""Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects."", ""What is the physician's assistant average salary vs a registered nurse?"", ""Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS."", ""What the difference between a physician assistant and a nurse practitioner?"", "". Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment."", ""Do nurse practitioners or physician assistants make more?"", ""According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.""]",Is a PA above a NP?,Is a physician assistant (PA) above a nurse practitioner (NP) in terms of scope of practice or hierarchy?,Is a physician assistants above a nurse practitioner?,175.8795,0.5385,0.1542,
